date,open,high,low,close,volume
2025-05-19,207.91,209.48,204.26,208.78,46140474.0
2025-05-20,207.67,208.47,205.03,206.86,42496414.0
2025-05-21,205.17,207.04,200.71,202.09,59211623.0
2025-05-22,200.71,202.75,199.7,201.36,46742407.0
2025-05-23,193.665,197.7,193.46,195.27,78432849.0
2025-05-27,198.3,200.74,197.43,200.21,56288417.0
2025-05-28,200.59,202.73,199.9,200.42,45339533.0
2025-05-29,203.575,203.81,198.51,199.95,51477938.0
2025-05-30,199.37,201.96,196.78,200.85,70819942.0
2025-06-02,200.28,202.13,200.12,201.7,35423023.0
2025-06-03,201.35,203.77,200.955,203.27,46381267.0
2025-06-04,202.91,206.24,202.1,202.82,43603984.0
2025-06-05,203.5,204.75,200.15,200.63,55220483.0
2025-06-06,203.0,205.7,202.05,203.92,46607044.0
2025-06-09,204.39,206.0,200.02,201.45,72862557.0
2025-06-10,200.6,204.35,200.57,202.67,54672478.0
2025-06-11,203.5,204.5,198.41,198.78,60989806.0
2025-06-12,199.08,199.68,197.3601,199.2,43904219.0
2025-06-13,199.73,200.37,195.7,196.45,51447344.0
2025-06-16,197.3,198.685,196.5636,198.42,43020685.0
2025-06-17,197.2,198.39,195.21,195.64,38855812.0
2025-06-18,195.94,197.57,195.07,196.58,45394686.0
2025-06-20,198.235,201.7,196.855,201.0,96813485.0
2025-06-23,201.625,202.3,198.96,201.5,55814122.0
2025-06-24,202.59,203.44,200.2,200.3,54063931.0
2025-06-25,201.45,203.67,200.6201,201.56,39525728.0
2025-06-26,201.43,202.64,199.46,201.0,50799041.0
2025-06-27,201.89,203.22,200.0,201.08,73188396.0
2025-06-30,202.01,207.39,199.2607,205.17,91912798.0
2025-07-01,206.665,210.1865,206.1401,207.82,78788866.0
2025-07-02,208.91,213.34,208.14,212.44,67941811.0
2025-07-03,212.145,214.65,211.8101,213.55,34707833.0
2025-07-07,212.68,216.23,208.8,209.95,50228959.0
2025-07-08,210.1,211.43,208.45,210.01,42848928.0
2025-07-09,209.53,211.33,207.22,211.14,48749277.0
2025-07-10,210.505,213.48,210.03,212.41,44443614.0
