date,open,high,low,close,volume
2025-05-19,201.645,206.62,201.26,206.16,34314805.0
2025-05-20,204.628,205.5899,202.65,204.07,29470305.0
2025-05-21,201.61,203.455,200.06,201.12,42460919.0
2025-05-22,201.38,205.76,200.16,203.1,38938596.0
2025-05-23,198.9,202.37,197.85,200.99,33393512.0
2025-05-27,203.085,206.69,202.19,206.02,34891910.0
2025-05-28,205.915,207.66,204.41,204.72,28549618.0
2025-05-29,208.025,208.81,204.23,205.7,34699831.0
2025-05-30,204.84,205.99,201.695,205.01,51679184.0
2025-06-02,204.98,207.0,202.68,206.65,29113275.0
2025-06-03,207.105,208.9469,205.03,205.71,33138728.0
2025-06-04,206.55,208.18,205.18,207.23,29915557.0
2025-06-05,209.55,212.81,207.56,207.91,51978852.0
2025-06-06,212.4,213.8699,210.5,213.57,39832400.0
2025-06-09,214.75,217.85,212.88,216.98,38102429.0
2025-06-10,216.78,217.69,214.15,217.61,31303260.0
2025-06-11,217.41,218.4,212.89,213.2,39325975.0
2025-06-12,211.78,213.58,211.33,213.24,27639931.0
2025-06-13,209.96,214.05,209.62,212.1,29337744.0
2025-06-16,212.31,217.06,211.6,216.1,33284158.0
2025-06-17,215.195,217.41,214.56,214.82,32086253.0
2025-06-18,215.09,217.96,212.34,212.52,44360484.0
2025-06-20,214.68,214.89,208.2709,209.69,75350605.0
2025-06-23,209.79,210.39,207.3101,208.47,37311719.0
2025-06-24,212.135,214.34,211.045,212.77,38378722.0
2025-06-25,214.615,216.03,211.11,211.99,31755698.0
2025-06-26,213.12,218.035,212.01,217.12,50480744.0
2025-06-27,219.92,223.3,216.74,223.3,119217040.0
2025-06-30,223.52,223.82,219.12,219.39,58887775.0
2025-07-01,219.5,221.875,217.93,220.46,39256717.0
2025-07-02,219.73,221.6,219.06,219.92,30894110.0
2025-07-03,221.82,224.01,221.36,223.41,29266152.0
2025-07-07,223.0,224.29,222.37,223.47,36604138.0
2025-07-08,223.915,224.0,218.43,219.36,45691973.0
2025-07-09,221.07,224.29,220.47,222.54,38155031.0
2025-07-10,221.55,222.79,219.7,222.26,30370440.0
2025-07-11,223.58,226.6799,222.37,225.02,50518303.0
2025-07-14,225.07,226.66,224.24,225.69,35702040.0
2025-07-15,226.2,227.27,225.455,226.35,34907158.0
2025-07-16,225.875,226.1,222.18,223.19,39535813.0
2025-07-17,223.32,224.5,222.51,223.88,31855690.0
2025-07-18,225.14,226.4,222.98,226.13,37833787.0
2025-07-21,225.835,229.69,225.65,229.3,40297504.0
2025-07-22,229.68,230.0,226.35,227.47,37483576.0
2025-07-23,228.47,228.79,227.09,228.29,28294828.0
2025-07-24,229.17,236.0,228.64,232.23,42902051.0
2025-07-25,232.22,232.48,231.18,231.44,28712043.0
2025-07-28,233.35,234.29,232.25,232.79,26300096.0
2025-07-29,234.15,234.72,230.31,231.01,33716220.0
2025-07-30,231.64,231.8,229.29,230.19,32992929.0
2025-07-31,235.77,236.53,231.4,234.11,104357154.0
2025-08-01,217.21,220.4399,212.8,214.75,122258338.0
2025-08-04,217.4,217.44,211.42,211.65,77890095.0
2025-08-05,213.05,216.3,212.87,213.75,51505113.0
2025-08-06,214.695,222.65,213.7409,222.31,54823045.0
2025-08-07,221.0,226.22,220.82,223.13,40603413.0
2025-08-08,223.14,223.8,221.8836,222.69,32970473.0
2025-08-11,221.78,223.05,220.4,221.3,31646156.0
2025-08-12,222.23,223.5,219.05,221.47,37254629.0
2025-08-13,222.0,224.9185,222.0,224.56,36508335.0
2025-08-14,227.4,233.11,227.02,230.98,61545813.0
2025-08-15,232.58,234.08,229.807,231.03,39649234.0
2025-08-18,230.225,231.91,228.33,231.49,25248819.0
2025-08-19,230.09,230.5283,227.12,228.01,29890877.0
2025-08-20,227.12,227.27,220.915,223.81,36604173.0
2025-08-21,222.65,222.78,220.5,221.95,32140459.0
2025-08-22,222.79,229.14,220.82,228.84,37315341.0
2025-08-25,227.35,229.6,227.31,227.94,22633693.0
2025-08-26,227.11,229.0,226.02,228.71,26105170.0
2025-08-27,228.57,229.87,227.81,229.12,21254401.0
2025-08-28,229.005,232.71,228.02,231.6,33679515.0
2025-08-29,231.32,231.8125,228.16,229.0,26199018.0
2025-09-02,223.52,226.17,221.83,225.34,38843686.0
2025-09-03,225.21,227.1699,224.36,225.99,29223082.0
2025-09-04,231.185,235.77,230.78,235.68,59391779.0
2025-09-05,235.19,236.0,231.93,232.33,36721802.0
2025-09-08,234.94,237.6,233.75,235.84,33947072.0
2025-09-09,236.355,238.85,235.08,238.24,27033776.0
2025-09-10,237.515,237.68,229.0962,230.33,60907712.0
2025-09-11,231.49,231.53,229.3377,229.95,37485539.0
2025-09-12,230.35,230.79,226.29,228.15,38496218.0
2025-09-15,230.625,233.73,230.32,231.43,33243327.0
2025-09-16,232.935,235.9,232.23,234.05,38203886.0
2025-09-17,233.77,234.3,228.71,231.62,42815208.0
2025-09-18,232.5,233.48,228.79,231.23,37931736.0
2025-09-19,232.37,234.16,229.7,231.48,97943016.0
2025-09-22,230.56,230.565,227.51,227.63,45914378.0
2025-09-23,227.83,227.86,220.07,220.71,70956193.0
2025-09-24,224.15,224.56,219.45,220.21,49509007.0
2025-09-25,220.06,220.67,216.47,218.15,52226328.0
2025-09-26,219.08,221.05,218.02,219.78,41650098.0
2025-09-29,220.08,222.6,219.3,222.17,44259177.0
2025-09-30,222.03,222.24,217.89,219.57,48396339.0
2025-10-01,217.36,222.15,216.61,220.63,43933737.0
2025-10-02,221.01,222.81,218.945,222.41,41258502.0
2025-10-03,223.44,224.2,219.34,219.51,43639008.0
2025-10-06,221.0,221.73,216.03,220.9,43690603.0
2025-10-07,220.88,222.89,220.17,221.78,31194678.0
2025-10-08,222.92,226.73,221.19,225.22,46685938.0
2025-10-09,224.995,228.21,221.75,227.74,46412122.0
2025-10-10,226.21,228.25,216.0,216.37,72366999.0
2025-10-13,217.7,220.68,217.04,220.07,37809639.0
2025-10-14,215.555,219.32,212.6,216.39,45665562.0
2025-10-15,216.62,217.71,212.66,215.57,45909248.0
2025-10-16,215.67,218.59,212.8101,214.47,42414531.0
2025-10-17,214.56,214.8,211.03,213.04,45986922.0
2025-10-20,213.88,216.69,213.59,216.48,38882819.0
2025-10-21,218.43,223.32,217.99,222.03,50494565.0
2025-10-22,219.3,220.005,216.52,217.95,44308524.0
2025-10-23,219.0,221.3,218.18,221.09,31539907.0
2025-10-24,221.97,225.4,221.9,224.21,38685016.0
2025-10-27,227.66,228.4,225.54,226.97,38266884.0
2025-10-28,228.215,231.485,226.21,229.25,47099956.0
2025-10-29,231.672,232.82,227.76,230.3,52036151.0
2025-10-30,227.06,228.44,222.75,222.86,102252937.0
2025-10-31,250.1,250.5,243.98,244.22,166340808.0
2025-11-03,255.36,258.6,252.9,254.0,95997811.0
2025-11-04,250.38,257.01,248.66,249.32,51546271.0
