date,open,high,low,close,volume
2025-05-19,164.51,166.64,164.22,166.54,30425712.0
2025-05-20,166.43,168.5,162.9,163.98,46607656.0
2025-05-21,163.69,173.14,163.56,168.56,73415863.0
2025-05-22,171.85,176.77,170.71,170.87,74864418.0
2025-05-23,169.055,169.96,167.89,168.47,35211438.0
2025-05-27,170.16,173.17,170.0,172.9,37995649.0
2025-05-28,173.16,175.265,171.9107,172.36,34783828.0
2025-05-29,174.0,174.4193,170.63,171.86,29373606.0
2025-05-30,171.35,172.205,167.44,171.74,52639722.0
2025-06-02,167.84,169.87,167.39,169.03,38612171.0
2025-06-03,167.49,168.475,165.28,166.18,45084902.0
2025-06-04,166.735,168.215,166.36,168.05,26900696.0
2025-06-05,170.34,170.93,167.59,168.21,36444245.0
2025-06-06,170.83,174.5,170.83,173.68,35731832.0
2025-06-09,174.54,176.47,174.37,176.09,28935842.0
2025-06-10,176.2,181.105,174.91,178.6,61766046.0
2025-06-11,179.77,180.37,176.75,177.35,31646449.0
2025-06-12,176.18,176.72,174.745,175.7,20941381.0
2025-06-13,172.44,177.13,172.385,174.67,27662981.0
2025-06-16,174.73,176.94,174.65,176.77,27389204.0
2025-06-17,175.7,177.3648,174.58,175.95,24972828.0
2025-06-18,176.01,176.56,173.2,173.32,28707098.0
2025-06-20,173.945,174.34,165.46,166.64,75659917.0
2025-06-23,166.27,167.34,162.0,165.19,57670843.0
2025-06-24,166.92,168.22,166.13,166.77,40524312.0
2025-06-25,167.63,172.36,167.55,170.68,35478619.0
2025-06-26,172.43,173.69,169.94,173.54,31796523.0
2025-06-27,173.54,178.68,171.73,178.53,108140014.0
2025-06-30,180.78,181.23,174.58,176.23,63378854.0
2025-07-01,175.735,176.09,173.53,175.84,35904305.0
2025-07-02,175.54,178.86,175.07,178.64,29128886.0
2025-07-03,178.5,179.67,177.05,179.53,21445819.0
2025-07-07,179.06,179.297,175.68,176.79,34175629.0
2025-07-08,177.85,177.95,172.81,174.36,40442452.0
2025-07-09,175.25,179.44,172.77,176.62,43025592.0
2025-07-10,175.63,178.429,174.38,177.62,29252315.0
2025-07-11,176.785,181.43,176.48,180.19,34282774.0
2025-07-14,181.01,183.67,179.68,181.56,32536514.0
2025-07-15,182.81,184.22,181.6,182.0,33448144.0
2025-07-16,183.235,184.327,182.03,182.97,33104193.0
2025-07-17,182.14,184.06,180.48,183.58,31992558.0
2025-07-18,185.4,186.42,183.71,185.06,34013929.0
2025-07-21,186.25,190.285,186.15,190.1,45802623.0
2025-07-22,191.495,191.645,187.46,191.34,44659996.0
2025-07-23,191.5,192.53,189.18,190.23,58681948.0
2025-07-24,197.03,197.95,191.0,192.17,74881524.0
2025-07-25,191.98,194.33,191.26,193.18,39785743.0
