date,open,high,low,close,volume
2025-05-19,72.03,72.17,71.64,71.93,13282424.0
2025-05-20,71.8,72.13,71.43,71.69,12137270.0
2025-05-21,71.69,72.08,71.585,71.85,12094404.0
2025-05-22,71.84,71.985,70.96,71.14,11101695.0
2025-05-23,71.54,71.98,70.685,71.77,12822013.0
2025-05-27,71.74,72.22,71.56,71.78,10665864.0
2025-05-28,71.7,71.9,71.05,71.15,8710843.0
2025-05-29,71.0,71.66,70.46,71.49,10293750.0
2025-05-30,71.605,72.47,71.605,72.1,28019524.0
2025-06-02,72.025,72.04,71.36,72.0,10202542.0
2025-06-03,71.71,71.78,70.475,71.16,20139623.0
2025-06-04,71.26,71.845,70.68,71.37,13565848.0
2025-06-05,71.38,71.455,70.835,70.91,13535222.0
2025-06-06,71.085,71.48,70.9448,71.35,9523680.0
2025-06-09,71.35,71.83,71.09,71.77,12281100.0
2025-06-10,71.9,72.685,71.76,72.35,12264918.0
2025-06-11,72.265,72.36,71.76,72.07,12718068.0
2025-06-12,72.25,72.3999,71.6,72.24,12806666.0
2025-06-13,71.77,71.88,70.73,71.02,17467020.0
2025-06-16,71.2,71.62,70.24,70.52,15045802.0
2025-06-17,70.38,70.46,69.58,69.62,15436911.0
2025-06-18,70.0,70.0,69.09,69.21,16227553.0
2025-06-20,69.09,69.5554,68.78,68.84,40859227.0
2025-06-23,69.14,69.81,68.97,69.74,21822729.0
2025-06-24,69.945,70.35,69.685,70.21,15216075.0
2025-06-25,69.925,70.02,69.43,69.63,12540372.0
2025-06-26,69.7,69.92,69.145,69.47,14452836.0
2025-06-27,69.59,70.56,69.47,70.33,23470647.0
2025-06-30,70.125,70.79,70.09,70.75,15428769.0
2025-07-01,70.99,72.45,70.9,71.67,21729046.0
2025-07-02,71.69,71.825,70.735,70.91,13049771.0
2025-07-03,71.04,71.395,70.45,71.35,9409719.0
2025-07-07,71.37,71.37,70.8,71.01,16984454.0
2025-07-08,70.68,70.68,69.88,70.24,17115518.0
2025-07-09,70.16,70.25,68.97,69.48,33704052.0
2025-07-10,69.29,69.845,69.16,69.77,14615044.0
2025-07-11,69.565,70.155,69.25,69.87,12916491.0
2025-07-14,69.8,70.08,69.2719,69.47,13983238.0
2025-07-15,69.51,69.55,69.15,69.36,12639709.0
2025-07-16,69.35,69.5,68.79,69.27,13178069.0
2025-07-17,69.81,70.685,69.51,70.59,20464557.0
2025-07-18,70.445,70.7,69.835,69.85,14927946.0
2025-07-21,70.195,70.62,69.93,70.07,17811719.0
2025-07-22,69.45,70.2592,68.69,69.66,22339612.0
2025-07-23,69.66,69.74,68.6,69.16,21029818.0
2025-07-24,69.255,69.55,68.99,69.1,12510882.0
