date,open,high,low,close,volume
2025-05-19,336.3,343.0,333.37,342.09,88869853.0
2025-05-20,347.87,354.9899,341.63,343.82,131715545.0
2025-05-21,344.43,347.35,332.2,334.62,102354759.0
2025-05-22,331.9,347.27,331.39,341.04,97113292.0
2025-05-23,337.92,343.18,333.21,339.34,84654623.0
2025-05-27,347.35,363.79,347.32,362.89,120146413.0
2025-05-28,364.84,365.0,355.91,356.9,91404309.0
2025-05-29,365.29,367.71,356.0,358.43,88545654.0
2025-05-30,355.52,363.68,345.29,346.46,123474938.0
2025-06-02,343.5,348.02,333.33,342.69,81873827.0
2025-06-03,346.595,355.4,343.04,344.27,99324544.0
2025-06-04,345.095,345.6,327.3308,332.05,98912074.0
2025-06-05,322.49,324.5499,273.21,284.7,292818454.0
2025-06-06,298.83,305.5,291.14,295.14,164747671.0
2025-06-09,285.955,309.83,281.85,308.58,140908836.0
2025-06-10,314.94,327.83,310.667,326.09,151256520.0
2025-06-11,334.395,335.5,322.5,326.43,122611360.0
2025-06-12,323.075,332.56,316.86,319.11,105127470.0
2025-06-13,313.97,332.99,313.3,325.31,128964279.0
2025-06-16,331.29,332.05,326.41,329.13,83925855.0
2025-06-17,326.09,327.26,314.74,316.35,88282644.0
2025-06-18,317.31,329.32,315.45,322.05,95137485.0
2025-06-20,327.95,332.36,317.78,322.16,108687910.0
2025-06-23,327.54,357.54,327.48,348.68,190716815.0
2025-06-24,356.17,356.26,340.44,340.47,114736040.0
2025-06-25,342.7,343.0,320.4,327.55,119845050.0
2025-06-26,324.61,331.05,323.61,325.78,80440907.0
2025-06-27,324.51,329.3393,317.495,323.63,89066930.0
2025-06-30,319.9,325.5799,316.6,317.66,76694920.0
2025-07-01,298.46,305.89,293.21,300.71,145085426.0
2025-07-02,312.63,316.832,303.82,315.65,119483649.0
2025-07-03,317.99,318.45,312.76,315.35,56417928.0
2025-07-07,291.37,296.15,288.7701,293.94,131177899.0
2025-07-08,297.0,304.0499,294.35,297.81,103246668.0
2025-07-09,297.55,300.15,293.55,295.88,75586771.0
2025-07-10,300.05,310.48,300.0,309.87,104365271.0
2025-07-11,307.89,314.09,305.65,313.51,79236344.0
2025-07-14,317.73,322.5986,312.67,316.9,78043043.0
2025-07-15,319.675,321.2,310.5,310.78,77556023.0
2025-07-16,312.8,323.5,312.62,321.67,97284785.0
2025-07-17,323.15,324.34,317.0601,319.41,73922865.0
2025-07-18,321.66,330.9,321.42,329.65,94254867.0
2025-07-21,334.4,338.0,326.88,328.49,75768721.0
2025-07-22,329.74,335.4098,321.55,332.11,77370365.0
2025-07-23,330.9,336.2,328.67,332.56,92553588.0
2025-07-24,310.0,310.15,300.41,305.3,156965924.0
2025-07-25,308.74,323.63,308.01,316.06,148227027.0
2025-07-28,318.45,330.49,315.69,325.59,112673755.0
2025-07-29,325.55,326.25,318.25,321.2,87358861.0
2025-07-30,322.18,324.4499,311.6164,319.04,83931930.0
2025-07-31,319.605,321.37,306.1,308.27,85270877.0
2025-08-01,306.205,309.31,297.82,302.63,89121175.0
2025-08-04,309.08,312.1186,303.0001,309.26,78683905.0
2025-08-05,308.95,312.4499,305.5,308.72,57961233.0
2025-08-06,307.89,320.47,306.9345,319.91,78522920.0
2025-08-07,319.79,322.4,316.16,322.27,66658672.0
2025-08-08,321.43,335.15,320.98,329.65,91200319.0
2025-08-11,335.0,346.64,334.15,339.03,105320110.0
2025-08-12,345.0,345.26,332.94,340.84,80690076.0
2025-08-13,341.5,348.98,338.2,339.38,67838892.0
2025-08-14,335.76,340.4699,330.4,335.58,75000662.0
2025-08-15,337.655,339.3,327.02,330.56,74319782.0
2025-08-18,329.62,336.27,329.59,335.16,56956551.0
2025-08-19,335.79,340.55,327.85,329.31,75955524.0
2025-08-20,329.22,331.37,314.6,323.9,77481718.0
2025-08-21,322.08,324.9,318.68,320.11,55744305.0
2025-08-22,321.66,340.25,319.69,340.01,94016258.0
2025-08-25,338.9,349.53,335.03,346.6,86669893.0
2025-08-26,344.93,351.9,343.72,351.67,76651550.0
2025-08-27,351.94,355.39,349.156,349.6,65518716.0
2025-08-28,350.91,353.55,340.26,345.98,67903224.0
2025-08-29,347.23,348.7499,331.7,333.87,81145306.0
2025-09-02,328.23,333.33,325.6,329.36,58391863.0
2025-09-03,335.2,343.33,328.51,334.09,88733057.0
2025-09-04,336.15,338.89,331.48,338.53,60710753.0
2025-09-05,348.0,355.87,344.6801,350.84,108989506.0
